,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours,cat_list,unique_category,restaurant_type,has_wifi,has_parking,animal_friendly,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,mGFsPRHdE6SMV1gYQ6GzgQ,T-Mobile,4735 Concord Pike,Wilmington,DE,19803,39.822176,-75.546007,2.0,6,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '3', 'WheelchairAccessible': 'True'}","Mobile Phones, Telecommunications, Electronics, Mobile Phone Accessories, Local Services, Shopping, IT Services & Computer Repair","{'Monday': '0:0-0:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-20:0', 'Sunday': '11:0-18:0'}","['Mobile Phones', ' Telecommunications', ' Electronics', ' Mobile Phone Accessories', ' Local Services', ' Shopping', ' IT Services & Computer Repair']",Shopping,,False,False,False,24.0,10.0,10.0,10.0,10.0,10.0,7.0
1,7PDi_iyik3jraDAzWwwR4Q,Chase JP Morgan Bank Credit Card Services,,Wilmington,DE,19850,39.749361,-75.643331,1.5,111,1,,"Banks & Credit Unions, Financial Services",,"['Banks & Credit Unions', ' Financial Services']",Others,,False,False,False,,,,,,,
2,Dy91wdWkwtI_qgjAIZ0Niw,Taqueria Los Primos,3322 Old Capitol Trl,Wilmington,DE,19808,39.7320886,-75.6256733,4.0,23,1,"{'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True', 'OutdoorSeating': 'False', 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'Caters': 'False', 'WiFi': ""u'no'"", 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""u'quiet'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'False', 'Alcohol': ""u'none'"", 'RestaurantsGoodForGroups': 'True', 'GoodForMeal': ""{u'breakfast': False, u'brunch': False, u'lunch': True, u'dinner': None, u'latenight': None, u'dessert': False}"", 'RestaurantsDelivery': 'True', 'Ambience': ""{u'divey': True, u'hipster': False, u'casual': None, u'touristy': False, u'trendy': False, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': False}""}","Mexican, Restaurants",,"['Mexican', ' Restaurants']",Food,Mexican,True,True,False,,,,,,,
3,7hSJSIBUP1UQncD4xWPDqg,The Delaware Contemporary,200 S Madison St,Wilmington,DE,19801,39.7382891,-75.5601479,4.5,11,1,"{'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'DogsAllowed': 'False', 'WiFi': ""u'free'""}","Arts & Entertainment, Event Planning & Services, Venues & Event Spaces, Museums","{'Thursday': '12:0-20:0', 'Friday': '12:0-17:0', 'Saturday': '12:0-17:0', 'Sunday': '12:0-17:0'}","['Arts & Entertainment', ' Event Planning & Services', ' Venues & Event Spaces', ' Museums']",Arts & Entertainment,,True,False,False,,,,8.0,5.0,5.0,5.0
4,tj9T7SUDD0SZZwq0LqKz4Q,Pecos Liquor Store,522 Philadelphia Pike,Wilmington,DE,19809,39.7687065,-75.504173,5.0,9,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'False', 'RestaurantsDelivery': 'True'}","Food, Beer, Wine & Spirits","{'Monday': '9:30-22:0', 'Tuesday': '9:30-22:0', 'Wednesday': '9:30-22:0', 'Thursday': '9:30-22:0', 'Friday': '9:30-22:0', 'Saturday': '9:30-22:0', 'Sunday': '12:0-17:0'}","['Food', ' Beer', ' Wine & Spirits']",Bars,Others,False,True,False,13.0,13.0,13.0,13.0,13.0,13.0,5.0
5,4uqRhXZTOzKF2ZhxbWzxfA,Ulta Beauty,2130 Fashion Center Blvd,Newark,DE,19702,39.6720582582,-75.6489002742,3.5,11,1,"{'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2'}","Shopping, Beauty & Spas, Cosmetics & Beauty Supply, Skin Care, Hair Salons","{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-18:0', 'Sunday': '10:0-20:0'}","['Shopping', ' Beauty & Spas', ' Cosmetics & Beauty Supply', ' Skin Care', ' Hair Salons']",Shopping,,False,False,False,10.0,10.0,10.0,11.0,8.0,8.0,10.0
6,_Oksx3ALgKLRVxeAR8l_qA,V-Trap Kitchen and Lounge,607 N Lincoln St,Wilmington,DE,19805,39.7506101734,-75.5708500743,5.0,13,0,"{'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'True', 'OutdoorSeating': 'True', 'Caters': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTableService': 'True', 'WiFi': ""u'no'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'HasTV': 'True', 'RestaurantsReservations': 'True', 'WheelchairAccessible': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True'}","Restaurants, Mexican, Arts & Entertainment, Event Planning & Services, Italian, Gluten-Free, Nightlife, Lounges, Vegan, Bars, Caterers, Vegetarian","{'Monday': '0:0-0:0', 'Tuesday': '12:0-19:0', 'Wednesday': '12:0-19:0', 'Thursday': '12:0-19:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0'}","['Restaurants', ' Mexican', ' Arts & Entertainment', ' Event Planning & Services', ' Italian', ' Gluten-Free', ' Nightlife', ' Lounges', ' Vegan', ' Bars', ' Caterers', ' Vegetarian']",Arts & Entertainment,Italian,True,True,False,24.0,7.0,7.0,7.0,9.0,9.0,
7,euVGpCtxxUR3RPazHvwXBA,Econo Lodge,100 Mcintosh Plz,Newark,DE,19713,39.6751633,-75.6817275,2.0,13,0,"{'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True'}","Hotels, Event Planning & Services, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}","['Hotels', ' Event Planning & Services', ' Hotels & Travel']",Hotels,,True,False,False,24.0,24.0,24.0,24.0,24.0,24.0,24.0
8,_NhT0A3LUEd75L_cEXf2_A,Season's Pizza,1721 W Gilpin Dr,Wilmington,DE,19805,39.7457361,-75.6098744,3.0,7,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'RestaurantsDelivery': 'None', 'RestaurantsTakeOut': 'True'}","Restaurants, Pizza","{'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-20:0'}","['Restaurants', ' Pizza']",Food,Fast Food,False,False,False,9.0,9.0,9.0,9.0,10.0,10.0,9.0
9,cP5gGbkCLEjAXIQZfh4t9g,Comicmania,4381 Kirkwood Hwy,Wilmington,DE,19808,39.7286237375,-75.6534856827,2.5,7,1,"{'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True'}","Books, Mags, Music & Video, Shopping, Toy Stores, Comic Books, Bookstores","{'Monday': '12:0-21:0', 'Tuesday': '12:0-19:0', 'Wednesday': '10:0-21:0', 'Thursday': '12:0-19:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-17:0'}","['Books', ' Mags', ' Music & Video', ' Shopping', ' Toy Stores', ' Comic Books', ' Bookstores']",Shopping,,False,False,False,9.0,7.0,11.0,7.0,9.0,9.0,5.0
