business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours,cat_list,unique_category,restaurant_type,has_wifi,has_parking,animal_friendly,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
fvWn8oXXwbj2l79cochZyw,Altitude Trampoline Park - Boise,1301 N Milwaukee St,Boise,ID,83704,43.6167635,-116.2853821,5.0,30,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'False', 'WheelchairAccessible': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True'}","Trampoline Parks, Active Life","{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-22:0', 'Saturday': '9:0-22:0', 'Sunday': '10:0-20:0'}","['Trampoline Parks', ' Active Life']",Active Life,,False,False,False,10.0,10.0,10.0,10.0,12.0,13.0,10.0
n7AQvGvNHlmun3kqXeBKVQ,Roy's Appliance Service,,Meridian,ID,83646,43.6434944,-116.4360004,5.0,5,1,{'BusinessAcceptsCreditCards': 'True'},"Local Services, Appliances & Repair","{'Monday': '0:0-0:0', 'Tuesday': '8:30-15:0', 'Wednesday': '8:30-15:0', 'Thursday': '8:30-15:0', 'Friday': '8:30-15:0'}","['Local Services', ' Appliances & Repair']",Others,,False,False,False,24.0,7.0,7.0,7.0,7.0,,
U2Tzy6J9aAAg9pzXsgdkvg,Premier Mortgage Resources,"3363 E Presidential Dr, Ste 200",Meridian,ID,83642,43.6141936,-116.3525001,5.0,6,1,,"Real Estate, Home Services, Financial Services, Mortgage Brokers, Mortgage Lenders","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}","['Real Estate', ' Home Services', ' Financial Services', ' Mortgage Brokers', ' Mortgage Lenders']",Others,,False,False,False,24.0,24.0,24.0,24.0,24.0,24.0,24.0
Fk1xpM7fjqEJ4paqk5ZFSg,Jamba Juice,"13601 W Mcmillan Rd, Ste 103",Boise,ID,83713,43.6478323,-116.3520706,3.0,19,0,"{'BusinessParking': 'None', 'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'WiFi': ""u'free'"", 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'BusinessAcceptsBitcoin': 'False'}","Juice Bars & Smoothies, Food","{'Monday': '0:0-0:0', 'Tuesday': '7:0-22:0', 'Wednesday': '7:0-21:0', 'Thursday': '7:0-22:0', 'Friday': '7:0-22:0', 'Saturday': '7:0-22:0', 'Sunday': '7:0-20:0'}","['Juice Bars & Smoothies', ' Food']",Food,Others,True,False,False,24.0,15.0,14.0,15.0,15.0,15.0,13.0
t5tBd4p7BA7hNDitBUXxrw,Boise Therapeutic Massage Center,7153 W Emerald St,Boise,ID,83704,43.6119488,-116.2711098,4.0,68,1,"{'WheelchairAccessible': 'True', 'BusinessAcceptsCreditCards': 'True', 'AcceptsInsurance': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""u'free'"", 'ByAppointmentOnly': 'True'}","Massage, Health & Medical, Medical Spas, Beauty & Spas","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '12:0-19:0'}","['Massage', ' Health & Medical', ' Medical Spas', ' Beauty & Spas']",Health & Medical,,True,True,False,12.0,12.0,12.0,12.0,12.0,12.0,7.0
3S9GYtMOYhbZl4MMPOHT0Q,The Handlebar Boise,1519 W Main St,Boise,ID,83702,43.62001,-116.21279,4.5,34,1,"{'RestaurantsPriceRange2': '1', 'RestaurantsGoodForGroups': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'Alcohol': ""'beer_and_wine'"", 'ByAppointmentOnly': 'False', 'NoiseLevel': ""'average'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'DogsAllowed': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'True', 'Smoking': ""u'outdoor'"", 'GoodForDancing': 'False', 'WiFi': ""u'free'"", 'BikeParking': 'True', 'HappyHour': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BYOB': 'False', 'OutdoorSeating': 'True', 'WheelchairAccessible': 'True', 'HasTV': 'False', 'CoatCheck': 'False'}","Bars, Wine Bars, Nightlife, Beer Bar","{'Monday': '0:0-0:0', 'Tuesday': '14:0-22:0', 'Wednesday': '14:0-22:0', 'Thursday': '14:0-22:0', 'Friday': '14:0-0:0', 'Saturday': '12:0-0:0', 'Sunday': '12:0-22:0'}","['Bars', ' Wine Bars', ' Nightlife', ' Beer Bar']",Bars,,True,True,True,24.0,8.0,8.0,8.0,10.0,12.0,10.0
CWE-NfyMgi28ePUiansSdQ,Jim's Appliance & Furniture,1115 Lusk St,Boise,ID,83706,43.6072576,-116.2127303,3.5,24,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'DogsAllowed': 'False', 'BusinessAcceptsBitcoin': 'False', 'WheelchairAccessible': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Appliances, Mattresses, Shopping, Home & Garden","{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-18:0'}","['Appliances', ' Mattresses', ' Shopping', ' Home & Garden']",Shopping,,False,True,False,9.0,9.0,9.0,9.0,9.0,9.0,
wZhGuW7vQpfhxeEvLHkTrA,Express Cafe,400 E Fairview Ave,Meridian,ID,83642,43.6196488,-116.3871392,4.5,119,1,"{'OutdoorSeating': 'False', 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'Alcohol': ""u'none'"", 'Caters': 'False', 'WiFi': ""u'no'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}"", 'BikeParking': 'True', 'HasTV': 'True', 'RestaurantsTableService': 'True', 'WheelchairAccessible': 'True', 'HappyHour': 'False'}","Restaurants, Breakfast & Brunch","{'Monday': '7:0-14:0', 'Tuesday': '6:30-14:0', 'Wednesday': '6:30-14:0', 'Thursday': '6:30-14:0', 'Friday': '6:30-14:0', 'Saturday': '6:30-14:30', 'Sunday': '7:0-14:30'}","['Restaurants', ' Breakfast & Brunch']",Food,Others,True,True,False,7.0,8.0,8.0,8.0,8.0,8.0,6.0
6zBCuzJwov08YisHZkfU2Q,Enterprise Rent-A-Car,9213 W Fairview Ave,Boise,ID,83704,43.6190157662,-116.2967492044,4.0,13,1,,"Car Rental, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '7:30-14:0', 'Friday': '8:0-18:0', 'Saturday': '9:0-12:0'}","['Car Rental', ' Hotels & Travel']",Others,,False,False,False,24.0,10.0,10.0,7.0,10.0,3.0,
MlEhwiOJpKe7VuO-IDCZqg,Azure Hair Studio,1519 W Grove St,Boise,ID,83702,43.6192496,-116.2135189,4.5,9,1,"{'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'ByAppointmentOnly': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'Smoking': ""u'outdoor'""}","Eyebrow Services, Hair Salons, Makeup Artists, Beauty & Spas","{'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-18:0'}","['Eyebrow Services', ' Hair Salons', ' Makeup Artists', ' Beauty & Spas']",Others,,True,True,False,,9.0,9.0,9.0,9.0,9.0,
