business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours,cat_list,unique_category,restaurant_type,has_wifi,has_parking,animal_friendly,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
LcAozWCMLGjwRbokaJAKMg,Edwardsville Children's Museum,722 Holyoake Rd,Edwardsville,IL,62025,38.8043945,-89.9497332,4.5,12,1,"{'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}""}","Museums, Kids Activities, Arts & Entertainment, Education, Active Life, Playgrounds, Children's Museums","{'Monday': '10:0-15:0', 'Tuesday': '9:30-14:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '9:30-17:30', 'Saturday': '9:30-17:30'}","['Museums', ' Kids Activities', ' Arts & Entertainment', ' Education', ' Active Life', ' Playgrounds', "" Children's Museums""]",Active Life,,False,True,False,5.0,5.0,8.0,8.0,8.0,8.0,
ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,312 Piasa St,Alton,IL,62002,38.896563,-90.1862032987,3.0,94,1,"{'RestaurantsReservations': 'True', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'False', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'full_bar'"", 'HasTV': 'True', 'Caters': 'True', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'WiFi': ""'free'"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsBitcoin': 'False', 'HappyHour': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'RestaurantsTableService': 'True', 'WheelchairAccessible': 'True'}","Restaurants, Specialty Food, Steakhouses, Food, Italian, Pizza, Pasta Shops","{'Monday': '0:0-0:0', 'Tuesday': '16:0-21:30', 'Wednesday': '16:0-21:30', 'Thursday': '16:0-21:30', 'Friday': '16:0-22:0', 'Saturday': '16:0-22:0', 'Sunday': '16:0-21:30'}","['Restaurants', ' Specialty Food', ' Steakhouses', ' Food', ' Italian', ' Pizza', ' Pasta Shops']",Food,Italian,True,True,False,24.0,4.0,4.0,4.0,6.0,6.0,4.0
bCBPXIVfVzBZBEpFu29dcg,All In Shipping,5343 Belleville Crossing St,Belleville,IL,62226,38.5175856,-90.0219285,5.0,5,1,{'BusinessAcceptsCreditCards': 'True'},"Shipping Centers, Local Services",,"['Shipping Centers', ' Local Services']",Others,,False,False,False,,,,,,,
sE6jSnvMts_MAn-b4OkMAw,K-9 Groom Room,820 Industrial Dr,Troy,IL,62294,38.7162443,-89.8858296,4.0,5,1,,"Pet Groomers, Pet Sitting, Pets, Pet Services","{'Monday': '8:0-16:0', 'Tuesday': '8:0-16:0', 'Wednesday': '8:0-16:0', 'Thursday': '8:0-16:0', 'Friday': '8:0-16:0', 'Saturday': '8:0-14:0'}","['Pet Groomers', ' Pet Sitting', ' Pets', ' Pet Services']",Others,,False,False,False,8.0,8.0,8.0,8.0,8.0,6.0,
EuRGgOwJ0g1vTj2R04j37Q,Crafty Crab,51 Ludwig Dr,Fairview Heights,IL,62208,38.6012982,-89.9896835,2.5,14,1,"{'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'GoodForKids': 'True'}","Seafood, Restaurants","{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-23:0', 'Saturday': '12:0-23:0', 'Sunday': '12:0-22:0'}","['Seafood', ' Restaurants']",Food,Others,False,True,False,10.0,10.0,10.0,10.0,11.0,11.0,10.0
JnbSkfsl_j2dUoHncBTonA,Collision XS,1416 Centreville Ave,Belleville,IL,62220,38.5022786,-90.00616971,4.5,6,1,"{'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True'}","Auto Repair, Body Shops, Automotive","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}","['Auto Repair', ' Body Shops', ' Automotive']",Automotive,,True,False,False,9.0,9.0,9.0,9.0,9.0,,
8oi1Gm7XLyK31Y3N3Wp2Ig,A & A Complete Services,,Smithton,IL,62285,38.3935,-90.0107,1.0,11,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}","Plumbing, Home Services","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}","['Plumbing', ' Home Services']",Others,,False,False,False,8.0,8.0,8.0,8.0,8.0,,
gRw-rxLFeNzyqa6hKPXD1w,Heitz Optical,2415 Homer M Adams Pkwy,Alton,IL,62002,38.918418,-90.151949,4.0,5,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'False', 'ByAppointmentOnly': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Eyewear & Opticians, Sporting Goods, Shopping, Medical Supplies, Laser Eye Surgery/Lasik, Optometrists, Health & Medical, Outdoor Gear","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '8:0-13:0'}","['Eyewear & Opticians', ' Sporting Goods', ' Shopping', ' Medical Supplies', ' Laser Eye Surgery/Lasik', ' Optometrists', ' Health & Medical', ' Outdoor Gear']",Shopping,,False,False,False,9.0,9.0,9.0,9.0,9.0,5.0,
uYBx50Yl_Jc-UYwFzudBsQ,Chew Doin Fried Chicken & Ramen,210 South Buchanan,Edwardsville,IL,62025,38.8105909,-89.9524841,3.0,10,0,"{'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsReservations': 'False', 'WiFi': ""u'no'"", 'OutdoorSeating': 'False', 'Caters': 'False', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True'}","Restaurants, Chicken Shop, Ramen, Japanese","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '16:0-20:0', 'Friday': '11:0-21:0', 'Saturday': '16:0-22:0'}","['Restaurants', ' Chicken Shop', ' Ramen', ' Japanese']",Food,Japanese,True,False,False,24.0,10.0,10.0,4.0,10.0,6.0,
WYVDN3VDDTiEUV0QR8D2Hg,Ron & Jo's Firearms & Sporting Supplies,1562 Frontage Rd,O Fallon,IL,62269,38.5984757,-89.9591083,3.5,6,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'False', 'RestaurantsPriceRange2': '2'}","Guns & Ammo, Sporting Goods, Shopping","{'Tuesday': '11:0-18:30', 'Wednesday': '11:0-18:30', 'Thursday': '11:0-18:30', 'Friday': '11:0-18:30', 'Saturday': '10:0-18:30'}","['Guns & Ammo', ' Sporting Goods', ' Shopping']",Shopping,,False,False,False,,6.0,6.0,6.0,6.0,7.0,
